"landing_site","acuaculture_production","est_aquaculture_production","est_aquaculture_certainty","aquacultureFLAG_landing.site"
"LAS SALINAS","no","no, as reported","estimate is consistent with original report","NO"
"R. PORTUARIO PCO","no","no, as reported","estimate is consistent with original report","NO"
"EL TAPAHUITO","no","no, as reported","estimate is consistent with original report","NO"
"SAYULITA","no","no, as reported","estimate is consistent with original report","NO"
"PRESA TEXCALAME","no","no, as reported","estimate is consistent with original report","NO"
"LITORAL","no","no, as reported","estimate is consistent with original report","NO"
"PRESA JUIQUINAQUE","no","no, as reported","estimate is consistent with original report","NO"
"PRESA POTRERILLOS","no","no, as reported","estimate is consistent with original report","NO"
"PRESA SANTA ROSA","no","no, as reported","estimate is consistent with original report","NO"
"PRESA LA BOQUILLA","no","no, as reported","estimate is consistent with original report","NO"
"PRESA LAS PIEDRAS","no","no, as reported","estimate is consistent with original report","NO"
"PRESA EL NOGAL","no","no, as reported","estimate is consistent with original report","NO"
"PRESA DE PARTIDAS","no","no, as reported","estimate is consistent with original report","NO"
"PRESA SAN ANTONIO DE LA CALERA","no","no, as reported","estimate is consistent with original report","NO"
"LA CINITA","no","no, as reported","estimate is consistent with original report","NO"
"PLATANITOS","no","no, as reported","estimate is consistent with original report","NO"
"LOS PUENTES CUATES","no","no, as reported","estimate is consistent with original report","NO"
"LAS PALMAS SAN CARLOS","no","no, as reported","estimate is consistent with original report","NO"
"ALTA MAR","no","no, as reported","estimate is consistent with original report","NO"
"PRESA SAN ANDRES","no","no, as reported","estimate is consistent with original report","NO"
"RIO TULE","no","no, as reported","estimate is consistent with original report","NO"
"LAS GRULLAS","yes","yes, as reported","estimate is consistent with original report","NO"
"PRESA LOS PEREZ","yes","yes, as reported","estimate is consistent with original report","NO"
"PRESA LA BOQUILLA","yes","yes, as reported","estimate is consistent with original report","NO"
"PEÑASCO","yes","yes, as reported","estimate is consistent with original report","NO"
"PLAYA BAHIA DE SAYULITA","yes","yes, as reported","estimate is consistent with original report","NO"
"ISLA ANGEL DE LA GUARDA","yes","yes, as reported","estimate is consistent with original report","NO"
"SAN FELIPE","yes","yes, as reported","estimate is consistent with original report","NO"
"LA BRECHA TEACAPAN","yes","yes, as reported","estimate is consistent with original report","NO"
"PREDIO BACHOMOBAMPO NO. UNO",NA,"probably, medium confidence","no official report but landing site name suggests aquaculture with medium confidence","POSSIBLY"
"BAHIA DE LOS ANGELES","yes","yes, as reported","estimate is consistent with original report","NO"
"BORDO LOS ZAPOTITOS",NA,"probably, medium confidence","no official report but landing site name suggests aquaculture with medium confidence","POSSIBLY"
"DRENES Y CANALES DEL VALLE DEL CARRIZO",NA,"probably, medium confidence","no official report but landing site name suggests aquaculture with medium confidence","POSSIBLY"
"EL JITZAMURI","yes","yes, as reported","estimate is consistent with original report","NO"
"CRUZ DE HUANACAXTLE, LA","yes","yes, as reported","estimate is consistent with original report","NO"
"RAMPA, LA (DARSENA NO. 1)","yes","yes, as reported","estimate is consistent with original report","NO"
"BAHIA DE LA PAZ","yes","yes, as reported","estimate is consistent with original report","NO"
"CORTINA, LA","yes","yes, as reported","estimate is consistent with original report","NO"
"PUERTECITOS","yes","yes, as reported","estimate is consistent with original report","NO"
"LORETO","yes","yes, as reported","estimate is consistent with original report","NO"
"SANTA ROSALIA (B.C.S.)","yes","yes, as reported","estimate is consistent with original report","NO"
"LA REFORMA","yes","yes, as reported","estimate is consistent with original report","NO"
"DREN CINCO",NA,"probably, medium confidence","no official report but landing site name suggests aquaculture with medium confidence","POSSIBLY"
"PLAYA DE TEACAPAN","yes","yes, as reported","estimate is consistent with original report","NO"
"CHIRIMOYO, EL","yes","yes, as reported","estimate is consistent with original report","NO"
"SANTA ROSA","yes","yes, as reported","estimate is consistent with original report","NO"
"CABO SAN LUCAS","yes","yes, as reported","estimate is consistent with original report","NO"
"DARSENA NUM. 2 PTO. SAN BLAS","yes","yes, as reported","estimate is consistent with original report","NO"
"LA ESCOLLERA","yes","yes, as reported","estimate is consistent with original report","NO"
"TOPOLOBAMPO","yes","yes, as reported","estimate is consistent with original report","NO"
"CANAL DE CUAUTLA","yes","yes, as reported","estimate is consistent with original report","NO"
"BARRA DE PIAXTLA","yes","yes, as reported","estimate is consistent with original report","NO"
"PAREDONCITO","yes","yes, as reported","estimate is consistent with original report","NO"
"CHACALA","yes","yes, as reported","estimate is consistent with original report","NO"
"PUNTA ARENA","yes","yes, as reported","estimate is consistent with original report","NO"
"CULTIVADORES DE LAS MARISMAS (CULT)",NA,"yes, with high confidence","no official report but landing site name suggests aquaculture with high confidence","YES"
"EL COLORADO","yes","yes, as reported","estimate is consistent with original report","NO"
"PUERTO VIEJO (EN B.C.N.)","yes","yes, as reported","estimate is consistent with original report","NO"
"BAHIA DE YELAPA","yes","yes, as reported","estimate is consistent with original report","NO"
"EL SALADO","yes","yes, as reported","estimate is consistent with original report","NO"
"GOLFO DE SANTA CLARA","yes","yes, as reported","estimate is consistent with original report","NO"
"SAN CARLOS","yes","yes, as reported","estimate is consistent with original report","NO"
"LA RIBERA","yes","yes, as reported","estimate is consistent with original report","NO"
"ESCOLLERA DE SAN FELIPE","yes","yes, as reported","estimate is consistent with original report","NO"
"CANDELONES","no","no, as reported","estimate is consistent with original report","NO"
"POZO DE LASA","no","no, as reported","estimate is consistent with original report","NO"
"EL PINO","yes","yes, as reported","estimate is consistent with original report","NO"
"PUERTO LIBERTAD","yes","yes, as reported","estimate is consistent with original report","NO"
"ESTERO LA BALLENA","yes","yes, as reported","estimate is consistent with original report","NO"
"SAN RAFAEL","yes","yes, as reported","estimate is consistent with original report","NO"
"LOS FRAILES","yes","yes, as reported","estimate is consistent with original report","NO"
"CALAMAJUE","yes","yes, as reported","estimate is consistent with original report","NO"
"BOCA DE ALAMO","yes","yes, as reported","estimate is consistent with original report","NO"
"LIGUI","yes","yes, as reported","estimate is consistent with original report","NO"
"LA RAMADITA (SAN NICOLAS)","yes","yes, as reported","estimate is consistent with original report","NO"
"ALAMITO Y CAIMANERO (CULT)",NA,"yes, with high confidence","no official report but landing site name suggests aquaculture with high confidence","YES"
"BAHIA DE LECHUGUILLA","yes","yes, as reported","estimate is consistent with original report","NO"
"LITORAL (TOPOLOBAMPO)","yes","yes, as reported","estimate is consistent with original report","NO"
"PLAYA SAN FRANCISCO","yes","yes, as reported","estimate is consistent with original report","NO"
"EMBARCADERO DE SAN ANDRES","yes","yes, as reported","estimate is consistent with original report","NO"
"DRENES Y CANALES DEL VALLE DEL CARRIZO","yes","yes, as reported","estimate is consistent with original report","POSSIBLY"
"CAMPO EL COLORADO","yes","yes, as reported","estimate is consistent with original report","NO"
"R. PORTUARIO PCO","yes","yes, as reported","estimate is consistent with original report","NO"
"ESTERO EL POZO (MARGEN IZQUIERDA)","yes","yes, as reported","estimate is consistent with original report","NO"
"BORDO, EL (MALECON DE FCO. VILLA)",NA,"probably, medium confidence","no official report but landing site name suggests aquaculture with medium confidence","POSSIBLY"
"SAN FRANCISCO","yes","yes, as reported","estimate is consistent with original report","NO"
"BORDO DON GIL",NA,"probably, medium confidence","no official report but landing site name suggests aquaculture with medium confidence","POSSIBLY"
"BORDO LOS ORGANOS",NA,"probably, medium confidence","no official report but landing site name suggests aquaculture with medium confidence","POSSIBLY"
"PUERTA DEL RIO","yes","yes, as reported","estimate is consistent with original report","NO"
"PUERTO SANTA CATARINA","yes","yes, as reported","estimate is consistent with original report","NO"
"PUNTA EL PESCADOR","yes","yes, as reported","estimate is consistent with original report","NO"
"PLAYA TEACAPAN","yes","yes, as reported","estimate is consistent with original report","NO"
"MUELLE DE SAN FELIPE","yes","yes, as reported","estimate is consistent with original report","NO"
"BORDO MIRAPLANES",NA,"probably, medium confidence","no official report but landing site name suggests aquaculture with medium confidence","POSSIBLY"
"RIO LERMA-SANTIAGO","yes","yes, as reported","estimate is consistent with original report","NO"
"PAREDONES","yes","yes, as reported","estimate is consistent with original report","NO"
"LOS VIVEROS",NA,"yes, with high confidence","no official report but landing site name suggests aquaculture with high confidence","YES"
"PICHILINGUE","yes","yes, as reported","estimate is consistent with original report","NO"
"CULTIVADORES DE LAS MARISMAS (CULT)","yes","yes, as reported","estimate is consistent with original report","YES"
"LOS BARRILES","yes","yes, as reported","estimate is consistent with original report","NO"
"ALTA MAR","yes","yes, as reported","estimate is consistent with original report","NO"
"REC PORTUARIO","yes","yes, as reported","estimate is consistent with original report","NO"
